Model Name,Accuracy,Precision,Recall,F1_Score
Local Convolutional Nueral Network 1,0.6327,0.6328506245740555,0.6327,0.6322431735277847
Local Convolutional Nueral Network 2,0.8049,0.8045640343076322,0.8049,0.8010503676243899
"transfer_model_1 MNv2 Frozen scaled to 64,64,3",0.6799,0.6785675389003203,0.6799,0.6787975435286395
"transfer_model_2 MNv2 top 40 Unfrozen scaled to 64,64,3",0.7069,0.7700099629701678,0.7069,0.6983635729482356
"transfer_model_3 MNv2 top 20 Unfrozen scaled to 64,64,3",0.8424,0.856746515271446,0.8424,0.8426796738609528
"transfer_model_4 ResN50v2 Frozen scaled to 64,64,3",0.6748,0.6725645666078662,0.6748,0.6725467499942642
"transfer_model_5 ResN50v2 top 49 Unfrozen scaled to 64,64,3",0.8191,0.8280334379663291,0.8191,0.8173245082730856
"transfer_model_6 MNv2 top 40 Unfrozen scaled to 96,96,3",0.9005,0.9043726691306507,0.9005,0.9005398756075117
"transfer_model_7 ResN50v2 top 49 Unfrozen scaled to 96,96,3",0.8496,0.8508100207136428,0.8496,0.8491082322929371
"transfer_model_8 MNv2 (-80:-40) Unfrozen scaled to 64,64,3",0.8608,0.8636423031897539,0.8608,0.8595535160272386
"transfer_model_9 MNv2 (-120:-80) Unfrozen scaled to 64,64,3",0.8318,0.8386742705446628,0.8318,0.8257333203216723
"transfer_model_10 MNv2 (0:40) Unfrozen scaled to 64,64,3",0.8162,0.8301326010862651,0.8162,0.8122535879841912
"Local Convolutional Nueral Network 2 scaled to 96,96,3",0.7993,0.7992804622406832,0.7993,0.7972365268178448
